size	CTadv(size)	OffscreenCanvas_au60	Offscreen_px	DOM_DPR2_au(apd30 at 2x)	DOM_px	DPR1_DOM_px
8	11.000000	660	11.0000	630	10.5000	11.0000
9	12.000000	720	12.0000	660	11.0000	12.0000
10	13.000000	780	13.0000	690	11.5000	13.0000
11	15.000000	900	15.0000	720	12.0000	15.0000
12	16.000000	960	16.0000	750	12.5000	16.0000
13	17.000000	1020	17.0000	780	13.0000	17.0000
14	19.000000	1140	19.0000	840	14.0000	19.0000
15	20.000000	1200	20.0000	900	15.0000	20.0000
16	21.000000	1260	21.0000	960	16.0000	21.0000
17	22.000000	1320	22.0000	1020	17.0000	22.0000
18	22.000000	1320	22.0000	1080	18.0000	22.0000
19	23.000000	1380	23.0000	1140	19.0000	23.0000
20	23.000000	1380	23.0000	1200	20.0000	23.0000
21	23.000000	1380	23.0000	1260	21.0000	23.0000
22	24.000000	1440	24.0000	1320	22.0000	24.0000
23	24.000000	1440	24.0000	1380	23.0000	24.0000
24	25.000000	1500	25.0000	1440	24.0000	25.0000
25	26.000000	1560	26.0000	1500	25.0000	26.0000
26	26.000000	1560	26.0000	1560	26.0000	26.0000
27	27.000000	1620	27.0000	1620	27.0000	27.0000
28	28.000000	1680	28.0000	1680	28.0000	28.0000
29	29.000000	1740	29.0000	1740	29.0000	29.0000
30	30.000000	1800	30.0000	1800	30.0000	30.0000
31	31.000000	1860	31.0000	1860	31.0000	31.0000
32	32.000000	1920	32.0000	1920	32.0000	32.0000
33	33.000000	1980	33.0000	1980	33.0000	33.0000
34	34.000000	2040	34.0000	2040	34.0000	34.0000
35	35.000000	2100	35.0000	2100	35.0000	35.0000
36	36.000000	2160	36.0000	2160	36.0000	36.0000
37	37.000000	2220	37.0000	2220	37.0000	37.0000
38	38.000000	2280	38.0000	2280	38.0000	38.0000
39	39.000000	2340	39.0000	2340	39.0000	39.0000
40	40.000000	2400	40.0000	2400	40.0000	40.0000
