# BreakablePositions::classify() from WebKit-7625.1.29.11.27 (2756e8be58521b10c8e8bff8da1f13d97f2eae27), run over every UTF-16 code unit.
# rules	nbsp	first	last	bits	classes
Normal	Normal	0000	000F	32768	Weird
Normal	Normal	0010	001F	4	CM
Normal	Normal	0020	0020	256	SP
Normal	Normal	0021	0021	32768	Weird
Normal	Normal	0022	0022	128	QU
Normal	Normal	0023	0026	32768	Weird
Normal	Normal	0027	0027	128	QU
Normal	Normal	0028	0028	8	OP
Normal	Normal	0029	0029	16	CP
Normal	Normal	002A	002F	32768	Weird
Normal	Normal	0030	0039	1	AL
Normal	Normal	003A	003F	32768	Weird
Normal	Normal	0040	005A	1	AL
Normal	Normal	005B	005B	8	OP
Normal	Normal	005C	005C	32768	Weird
Normal	Normal	005D	005D	16	CP
Normal	Normal	005E	005F	32768	Weird
Normal	Normal	0060	007A	1	AL
Normal	Normal	007B	007B	8	OP
Normal	Normal	007C	007C	32768	Weird
Normal	Normal	007D	007D	32	CL
Normal	Normal	007E	009F	32768	Weird
Normal	Normal	00A0	00A0	64	GL
Normal	Normal	00A1	00A1	8	OP
Normal	Normal	00A2	00AA	32768	Weird
Normal	Normal	00AB	00AB	640	QU|Pi
Normal	Normal	00AC	00BA	32768	Weird
Normal	Normal	00BB	00BB	1152	QU|Pf
Normal	Normal	00BC	00BE	32768	Weird
Normal	Normal	00BF	00BF	8	OP
Normal	Normal	00C0	00C0	32768	Weird
Normal	Normal	00C1	02C7	1	AL
Normal	Normal	02C8	02C8	32768	Weird
Normal	Normal	02C9	02CB	1	AL
Normal	Normal	02CC	02CC	32768	Weird
Normal	Normal	02CD	02DE	1	AL
Normal	Normal	02DF	02DF	32768	Weird
Normal	Normal	02E0	02FF	1	AL
Normal	Normal	0300	034E	4	CM
Normal	Normal	034F	034F	64	GL
Normal	Normal	0350	035B	4	CM
Normal	Normal	035C	0362	64	GL
Normal	Normal	0363	036F	4	CM
Normal	Normal	0370	037D	1	AL
Normal	Normal	037E	037E	32768	Weird
Normal	Normal	037F	0482	1	AL
Normal	Normal	0483	0489	4	CM
Normal	Normal	048A	0588	1	AL
Normal	Normal	0589	0590	32768	Weird
Normal	Normal	0591	05BD	4	CM
Normal	Normal	05BE	05BE	32768	Weird
Normal	Normal	05BF	05BF	4	CM
Normal	Normal	05C0	05C0	32768	Weird
Normal	Normal	05C1	05C2	4	CM
Normal	Normal	05C3	05C3	32768	Weird
Normal	Normal	05C4	05C5	4	CM
Normal	Normal	05C6	05C6	32768	Weird
Normal	Normal	05C7	05C7	4	CM
Normal	Normal	05C8	05FF	1	AL
Normal	Normal	0600	2017	32768	Weird
Normal	Normal	2018	2018	640	QU|Pi
Normal	Normal	2019	2019	1152	QU|Pf
Normal	Normal	201A	201B	32768	Weird
Normal	Normal	201C	201C	640	QU|Pi
Normal	Normal	201D	201D	1152	QU|Pf
Normal	Normal	201E	2E7F	32768	Weird
Normal	Normal	2E80	2FFF	2	ID
Normal	Normal	3000	3000	32768	Weird
