# BMP code units c with U_GET_GC_MASK(c) & (Ps|Pe|Pi|Pf|Po), from libicucore u_getVersion=78.1.
# Used by keep-all on 16-bit text only (BreakablePositions.h:268-271 at 7625; absent at 7624). Surrogates are Cs, so supplementary punctuation never matches.
# first	last
0021	0023
0025	002A
002C	002C
002E	002F
003A	003B
003F	0040
005B	005D
007B	007B
007D	007D
00A1	00A1
00A7	00A7
00AB	00AB
00B6	00B7
00BB	00BB
00BF	00BF
037E	037E
0387	0387
055A	055F
0589	0589
05C0	05C0
05C3	05C3
05C6	05C6
05F3	05F4
0609	060A
060C	060D
061B	061B
061D	061F
066A	066D
06D4	06D4
0700	070D
07F7	07F9
0830	083E
085E	085E
0964	0965
0970	0970
09FD	09FD
0A76	0A76
0AF0	0AF0
0C77	0C77
0C84	0C84
0DF4	0DF4
0E4F	0E4F
0E5A	0E5B
0F04	0F12
0F14	0F14
0F3A	0F3D
0F85	0F85
0FD0	0FD4
0FD9	0FDA
104A	104F
10FB	10FB
1360	1368
166E	166E
169B	169C
16EB	16ED
1735	1736
17D4	17D6
17D8	17DA
1800	1805
1807	180A
1944	1945
1A1E	1A1F
1AA0	1AA6
1AA8	1AAD
1B4E	1B4F
1B5A	1B60
1B7D	1B7F
1BFC	1BFF
1C3B	1C3F
1C7E	1C7F
1CC0	1CC7
1CD3	1CD3
2016	2027
2030	203E
2041	2043
2045	2051
2053	2053
2055	205E
207D	207E
208D	208E
2308	230B
2329	232A
2768	2775
27C5	27C6
27E6	27EF
2983	2998
29D8	29DB
29FC	29FD
2CF9	2CFC
2CFE	2CFF
2D70	2D70
2E00	2E16
2E18	2E19
2E1B	2E2E
2E30	2E39
2E3C	2E3F
2E41	2E4F
2E52	2E5C
3001	3003
3008	3011
3014	301B
301D	301F
303D	303D
30FB	30FB
A4FE	A4FF
A60D	A60F
A673	A673
A67E	A67E
A6F2	A6F7
A874	A877
A8CE	A8CF
A8F8	A8FA
A8FC	A8FC
A92E	A92F
A95F	A95F
A9C1	A9CD
A9DE	A9DF
AA5C	AA5F
AADE	AADF
AAF0	AAF1
ABEB	ABEB
F8B4	F8B7
F8BB	F8BB
F8BE	F8BF
FD3E	FD3F
FE10	FE19
FE30	FE30
FE35	FE4C
FE50	FE52
FE54	FE57
FE59	FE61
FE68	FE68
FE6A	FE6B
FF01	FF03
FF05	FF0A
FF0C	FF0C
FF0E	FF0F
FF1A	FF1B
FF1F	FF20
FF3B	FF3D
FF5B	FF5B
FF5D	FF5D
FF5F	FF65
# total code units: 600
