# lineBreakTable from WebKit-7625.1.29.11.27 (2756e8be58521b10c8e8bff8da1f13d97f2eae27): unsafeLookup(before, after) for before, after in U+0021..U+00FF.
# Consulted only with LineBreakRules::Normal, when both characters are <= U+00FF (BreakablePositions.h:181-187).
# before	count	afters where a break is allowed before 'after'
21	96	28 3C 5B 7B A1 A2 A3 A4 A5 A6 A7 A8 A9 AA AC AE AF B0 B1 B2 B3 B4 B5 B6 B7 B8 B9 BA BC BD BE BF C0 C1 C2 C3 C4 C5 C6 C7 C8 C9 CA CB CC CD CE CF D0 D1 D2 D3 D4 D5 D6 D7 D8 D9 DA DB DC DD DE DF E0 E1 E2 E3 E4 E5 E6 E7 E8 E9 EA EB EC ED EE EF F0 F1 F2 F3 F4 F5 F6 F7 F8 F9 FA FB FC FD FE FF
22	4	28 3C 5B 7B
23	5	28 3C 5B 7B B4
24	9	A1 A2 A3 A4 A5 B0 B1 B4 BF
25	13	28 3C 5B 7B A1 A2 A3 A4 A5 B0 B1 B4 BF
26	5	28 3C 5B 7B B4
27	0	
28	0	
29	13	28 3C 5B 7B A1 A2 A3 A4 A5 B0 B1 B4 BF
2A	5	28 3C 5B 7B B4
2B	13	28 3C 5B 7B A1 A2 A3 A4 A5 B0 B1 B4 BF
2C	13	28 3C 5B 7B A1 A2 A3 A4 A5 B0 B1 B4 BF
2D	157	21 22 23 24 25 26 27 28 29 2A 2B 2D 2F 3A 3B 3C 3D 3E 3F 40 41 42 43 44 45 46 47 48 49 4A 4B 4C 4D 4E 4F 50 51 52 53 54 55 56 57 58 59 5A 5B 5C 5D 5E 5F 60 61 62 63 64 65 66 67 68 69 6A 6B 6C 6D 6E 6F 70 71 72 73 74 75 76 77 78 79 7A 7B 7C 7D 7E 7F A0 A1 A2 A3 A4 A5 B0 B1 B4 BF C0 C1 C2 C3 C4 C5 C6 C7 C8 C9 CA CB CC CD CE CF D0 D1 D2 D3 D4 D5 D6 D7 D8 D9 DA DB DC DD DE DF E0 E1 E2 E3 E4 E5 E6 E7 E8 E9 EA EB EC ED EE EF F0 F1 F2 F3 F4 F5 F6 F7 F8 F9 FA FB FC FD FE FF
2E	13	28 3C 5B 7B A1 A2 A3 A4 A5 B0 B1 B4 BF
2F	92	A1 A2 A3 A4 A5 A6 A7 A8 A9 AA AC AE AF B0 B1 B2 B3 B4 B5 B6 B7 B8 B9 BA BC BD BE BF C0 C1 C2 C3 C4 C5 C6 C7 C8 C9 CA CB CC CD CE CF D0 D1 D2 D3 D4 D5 D6 D7 D8 D9 DA DB DC DD DE DF E0 E1 E2 E3 E4 E5 E6 E7 E8 E9 EA EB EC ED EE EF F0 F1 F2 F3 F4 F5 F6 F7 F8 F9 FA FB FC FD FE FF
30	1	B4
31	1	B4
32	1	B4
33	1	B4
34	1	B4
35	1	B4
36	1	B4
37	1	B4
38	1	B4
39	1	B4
3A	13	28 3C 5B 7B A1 A2 A3 A4 A5 B0 B1 B4 BF
3B	13	28 3C 5B 7B A1 A2 A3 A4 A5 B0 B1 B4 BF
3C	1	B4
3D	5	28 3C 5B 7B B4
3E	5	28 3C 5B 7B B4
3F	175	23 24 25 26 28 2A 2B 2D 30 31 32 33 34 35 36 37 38 39 3C 3D 3E 40 41 42 43 44 45 46 47 48 49 4A 4B 4C 4D 4E 4F 50 51 52 53 54 55 56 57 58 59 5A 5B 5C 5E 5F 60 61 62 63 64 65 66 67 68 69 6A 6B 6C 6D 6E 6F 70 71 72 73 74 75 76 77 78 79 7A 7B 7C 7E 7F A1 A2 A3 A4 A5 A6 A7 A8 A9 AA AC AE AF B0 B1 B2 B3 B4 B5 B6 B7 B8 B9 BA BC BD BE BF C0 C1 C2 C3 C4 C5 C6 C7 C8 C9 CA CB CC CD CE CF D0 D1 D2 D3 D4 D5 D6 D7 D8 D9 DA DB DC DD DE DF E0 E1 E2 E3 E4 E5 E6 E7 E8 E9 EA EB EC ED EE EF F0 F1 F2 F3 F4 F5 F6 F7 F8 F9 FA FB FC FD FE FF
40	1	B4
41	1	B4
42	1	B4
43	1	B4
44	1	B4
45	1	B4
46	1	B4
47	1	B4
48	1	B4
49	1	B4
4A	1	B4
4B	1	B4
4C	1	B4
4D	1	B4
4E	1	B4
4F	1	B4
50	1	B4
51	1	B4
52	1	B4
53	1	B4
54	1	B4
55	1	B4
56	1	B4
57	1	B4
58	1	B4
59	1	B4
5A	1	B4
5B	0	
5C	13	28 3C 5B 7B A1 A2 A3 A4 A5 B0 B1 B4 BF
5D	13	28 3C 5B 7B A1 A2 A3 A4 A5 B0 B1 B4 BF
5E	1	B4
5F	1	B4
60	1	B4
61	1	B4
62	1	B4
63	1	B4
64	1	B4
65	1	B4
66	1	B4
67	1	B4
68	1	B4
69	1	B4
6A	1	B4
6B	1	B4
6C	1	B4
6D	1	B4
6E	1	B4
6F	1	B4
70	1	B4
71	1	B4
72	1	B4
73	1	B4
74	1	B4
75	1	B4
76	1	B4
77	1	B4
78	1	B4
79	1	B4
7A	1	B4
7B	0	
