language	serif	sans-serif	cursive	fantasy	monospace
acf	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
af	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
af-NA	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
af-ZA	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
agq	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
agq-CM	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
ain	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
ain-JP	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
ak	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
ak-GH	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
am	Kefa III	Kefa III	Kefa III	Kefa III	Menlo
am-ET	Kefa III	Kefa III	Kefa III	Kefa III	Menlo
apw	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
apw-US	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
ar	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Menlo
ar-001	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Menlo
ar-AE	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Menlo
ar-BH	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Menlo
ar-DJ	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Menlo
ar-DZ	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Menlo
ar-EG	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Menlo
ar-EH	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Menlo
ar-ER	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Menlo
ar-IL	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Menlo
ar-IQ	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Menlo
ar-JO	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Menlo
ar-KM	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Menlo
ar-KW	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Menlo
ar-LB	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Menlo
ar-LY	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Menlo
ar-MA	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Menlo
ar-MR	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Menlo
ar-OM	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Menlo
ar-PS	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Menlo
ar-QA	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Menlo
ar-SA	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Menlo
ar-SD	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Menlo
ar-SO	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Menlo
ar-SS	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Menlo
ar-SY	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Menlo
ar-TD	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Menlo
ar-TN	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Menlo
ar-YE	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Menlo
arn	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
arn-CL	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
as	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
as-IN	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
asa	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
asa-TZ	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
ast	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
ast-ES	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
az	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
az-Cyrl	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
az-Cyrl-AZ	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
az-Latn	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
az-Latn-AZ	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
ba	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
ba-RU	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
bas	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
bas-CM	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
be	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
be-BY	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
bem	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
bem-ZM	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
ber	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
ber-Latn	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
ber-Latn-MA	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
ber-Tfng	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
ber-Tfng-MA	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
bez	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
bez-TZ	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
bg	.Times Fallback	Helvetica	Snell Roundhand	Snell Roundhand	Menlo
bg-BG	.Times Fallback	Helvetica	Snell Roundhand	Snell Roundhand	Menlo
bgc	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
bgc-IN	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
bho	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
bho-IN	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
bla	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
blo	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
blo-BJ	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
bm	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
bm-ML	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
bn	Kohinoor Bangla	Kohinoor Bangla	Kohinoor Bangla	Kohinoor Bangla	Menlo
bn-BD	Kohinoor Bangla	Kohinoor Bangla	Kohinoor Bangla	Kohinoor Bangla	Menlo
bn-IN	Kohinoor Bangla	Kohinoor Bangla	Kohinoor Bangla	Kohinoor Bangla	Menlo
bo	Kokonor	Kailasa	Kokonor	Kokonor	Menlo
bo-CN	Kokonor	Kailasa	Kokonor	Kokonor	Menlo
bo-IN	Kokonor	Kailasa	Kokonor	Kokonor	Menlo
br	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
br-FR	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
brx	.Times Fallback	Helvetica	Apple Chancery	Zapfino	Menlo
