default=zh_CN
[] | 0 4 10 | 0 1 2 7 8 9 | 0 1 3 4 | 0 4 8 11 | 0 1 4 5 6 | 0 1 2 3 5 6 7 | 0 4 10 13 21
[en] | 0 4 10 | 0 1 2 7 8 9 | 0 1 3 4 | 0 4 8 11 | 0 1 4 5 6 | 0 1 2 3 5 6 7 | 0 4 10 13 21
[ja] | 0 10 | 0 1 8 9 | 0 1 2 3 4 | 0 4 11 | 0 1 5 6 | 0 1 2 3 5 6 7 | 0 4 10 13 21
[ko] | 0 4 10 | 0 1 2 7 8 9 | 0 1 2 3 4 | 0 4 8 11 | 0 1 4 5 6 | 0 1 2 3 5 6 7 | 0 4 10 13 21
[zh] | 0 4 10 | 0 1 2 7 8 9 | 0 1 3 4 | 0 4 8 11 | 0 1 4 5 6 | 0 1 2 3 5 6 7 | 0 4 10 13 21
[zh-Hant] | 0 4 10 | 0 1 2 7 8 9 | 0 1 3 4 | 0 4 8 11 | 0 1 4 5 6 | 0 1 2 3 5 6 7 | 0 4 10 13 21
[zh-Hans] | 0 4 10 | 0 1 2 7 8 9 | 0 1 3 4 | 0 4 8 11 | 0 1 4 5 6 | 0 1 2 3 5 6 7 | 0 4 10 13 21
[zh-CN] | 0 4 10 | 0 1 2 7 8 9 | 0 1 3 4 | 0 4 8 11 | 0 1 4 5 6 | 0 1 2 3 5 6 7 | 0 4 10 13 21
[zh-Hans-US] | 0 4 10 | 0 1 2 7 8 9 | 0 1 3 4 | 0 4 8 11 | 0 1 4 5 6 | 0 1 2 3 5 6 7 | 0 4 10 13 21
[th] | 0 4 10 | 0 1 2 7 8 9 | 0 1 3 4 | 0 4 8 11 | 0 1 4 5 6 | 0 1 2 3 5 6 7 | 0 4 10 13 21
[my] | 0 4 10 | 0 1 2 7 8 9 | 0 1 3 4 | 0 4 8 11 | 0 1 4 5 6 | 0 1 2 3 5 6 7 | 0 4 10 13 21
[km] | 0 4 10 | 0 1 2 7 8 9 | 0 1 3 4 | 0 4 8 11 | 0 1 4 5 6 | 0 1 2 3 5 6 7 | 0 4 10 13 21
[hi] | 0 4 10 | 0 1 2 7 8 9 | 0 1 3 4 | 0 4 8 11 | 0 1 4 5 6 | 0 1 2 3 5 6 7 | 0 4 10 13 21
[he] | 0 10 | 0 1 8 9 | 0 1 3 4 | 0 4 11 | 0 1 5 6 | 0 1 2 3 5 6 7 | 0 4 10 13 21
[ar] | 0 10 | 0 1 8 9 | 0 1 3 4 | 0 4 11 | 0 1 5 6 | 0 1 2 3 5 6 7 | 0 4 10 13 21
[mul] | 0 4 10 | 0 1 2 7 8 9 | 0 1 3 4 | 0 4 8 11 | 0 1 4 5 6 | 0 1 2 3 5 6 7 | 0 4 10 13 21
[und] | 0 4 10 | 0 1 2 7 8 9 | 0 1 3 4 | 0 4 8 11 | 0 1 4 5 6 | 0 1 2 3 5 6 7 | 0 4 10 13 21
[zh-hans] | 0 4 10 | 0 1 2 7 8 9 | 0 1 3 4 | 0 4 8 11 | 0 1 4 5 6 | 0 1 2 3 5 6 7 | 0 4 10 13 21
[en-US] | 0 4 10 | 0 1 2 7 8 9 | 0 1 3 4 | 0 4 8 11 | 0 1 4 5 6 | 0 1 2 3 5 6 7 | 0 4 10 13 21
