# uloc_getDefault=en_US_POSIX
# locale	quotationStart	quotationEnd	altQuotationStart	altQuotationEnd
(empty)	U+201C/QU	U+201D/QU	U+2018/QU	U+2019/QU
root	U+201C/QU	U+201D/QU	U+2018/QU	U+2019/QU
en	U+201C/QU	U+201D/QU	U+2018/QU	U+2019/QU
en-US	U+201C/QU	U+201D/QU	U+2018/QU	U+2019/QU
en-GB	U+201C/QU	U+201D/QU	U+2018/QU	U+2019/QU
fr	U+00AB/QU	U+00BB/QU	U+00AB/QU	U+00BB/QU
fr-CA	U+00AB/QU	U+00BB/QU	U+201D/QU	U+201C/QU
de	U+201E/OP	U+201C/QU	U+201A/OP	U+2018/QU
de-CH	U+201E/OP	U+201C/QU	U+201A/OP	U+2018/QU
es	U+201C/QU	U+201D/QU	U+2018/QU	U+2019/QU
it	U+00AB/QU	U+00BB/QU	U+201C/QU	U+201D/QU
pt	U+201C/QU	U+201D/QU	U+2018/QU	U+2019/QU
pt-BR	U+201C/QU	U+201D/QU	U+2018/QU	U+2019/QU
ru	U+00AB/QU	U+00BB/QU	U+201E/OP	U+201C/QU
uk	U+00AB/QU	U+00BB/QU	U+201E/OP	U+201C/QU
pl	U+201E/OP	U+201D/QU	U+00AB/QU	U+00BB/QU
cs	U+201E/OP	U+201C/QU	U+201A/OP	U+2018/QU
nl	U+2018/QU	U+2019/QU	U+2018/QU	U+2019/QU
sv	U+201D/QU	U+201D/QU	U+2019/QU	U+2019/QU
fi	U+201D/QU	U+201D/QU	U+2019/QU	U+2019/QU
da	U+201C/QU	U+201D/QU	U+2018/QU	U+2019/QU
nb	U+00AB/QU	U+00BB/QU	U+2018/QU	U+2019/QU
is	U+201E/OP	U+201C/QU	U+201A/OP	U+2018/QU
hu	U+201E/OP	U+201D/QU	U+00BB/QU	U+00AB/QU
ro	U+201E/OP	U+201D/QU	U+00AB/QU	U+00BB/QU
tr	U+201C/QU	U+201D/QU	U+2018/QU	U+2019/QU
el	U+00AB/QU	U+00BB/QU	U+201C/QU	U+201D/QU
he	U+0022/QU	U+0022/QU	U+0027/QU	U+0027/QU
ar	U+0022/QU	U+0022/QU	U+0027/QU	U+0027/QU
fa	U+00AB/QU	U+00BB/QU	U+2039/QU	U+203A/QU
ur	U+201D/QU	U+201C/QU	U+2019/QU	U+2018/QU
hi	U+201C/QU	U+201D/QU	U+2018/QU	U+2019/QU
th	U+201C/QU	U+201D/QU	U+2018/QU	U+2019/QU
vi	U+201C/QU	U+201D/QU	U+2018/QU	U+2019/QU
id	U+201C/QU	U+201D/QU	U+2018/QU	U+2019/QU
ja	U+300C/OP	U+300D/CL	U+300E/OP	U+300F/CL
ja-JP	U+300C/OP	U+300D/CL	U+300E/OP	U+300F/CL
ko	U+201C/QU	U+201D/QU	U+2018/QU	U+2019/QU
zh	U+201C/QU	U+201D/QU	U+2018/QU	U+2019/QU
zh-CN	U+201C/QU	U+201D/QU	U+2018/QU	U+2019/QU
zh-Hans	U+201C/QU	U+201D/QU	U+2018/QU	U+2019/QU
zh-Hans-US	U+201C/QU	U+201D/QU	U+2018/QU	U+2019/QU
zh-Hant	U+300C/OP	U+300D/CL	U+300E/OP	U+300F/CL
zh-TW	U+300C/OP	U+300D/CL	U+300E/OP	U+300F/CL
zh-HK	U+300C/OP	U+300D/CL	U+300E/OP	U+300F/CL
yue	U+300C/OP	U+300D/CL	U+300E/OP	U+300F/CL
und	U+201C/QU	U+201D/QU	U+2018/QU	U+2019/QU
xx	U+201C/QU	U+201D/QU	U+2018/QU	U+2019/QU
