language	serif	sans-serif	cursive	fantasy	monospace
af	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
af-NA	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
af-ZA	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
agq	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
agq-CM	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ain	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ain-JP	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ak	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ak-GH	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
am	Kefa III	Kefa III	Kefa III	Kefa III	Menlo
am-ET	Kefa III	Kefa III	Kefa III	Kefa III	Menlo
apw	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
apw-US	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ar	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Menlo
ar-001	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
ar-AE	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
ar-BH	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
ar-DJ	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
ar-DZ	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
ar-EG	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
ar-EH	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
ar-ER	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
ar-IL	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
ar-IQ	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
ar-JO	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
ar-KM	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
ar-KW	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
ar-LB	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
ar-LY	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
ar-MA	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
ar-MR	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
ar-OM	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
ar-PS	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
ar-QA	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
ar-SA	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
ar-SD	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
ar-SO	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
ar-SS	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
ar-SY	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
ar-TD	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
ar-TN	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
